,Cnsmr,Manuf,HiTec,Hlth,Other
GS10,0.10003344808732065,0.000663664825227661,0.007707313964138404,0.0038042560612631927,0.0007522578015515661
UMCSENTx,0.05573599354293991,0.05256045917209831,0.06824313811260616,0.10559165828514343,0.08833460638067184
COMPAPFFx,0.05456537933074632,0.06225394870647957,0.02759875334310685,0.0314102152807285,0.10723782289733487
VXOCLSx,0.04906294886698827,0.02505511897557583,0.10804395828989587,0.03231197666262122,0.037008975896023144
PERMIT,0.0392013588846485,0.045864917859325186,0.011950439343000998,0.0005351592865052423,0.025197242174597848
UEMP5TO14,0.038640231203256256,0.0060307982431096075,0.02358833558179253,0.00016267025213325374,0.00758200150060213
WPSFD49207,0.03268148161736378,0.006520474760510065,0.004417770940123532,0.0,0.0035135982824406353
CUSR0000SAC,0.0324897333261887,0.038329808603717264,0.013439162883579296,0.012617265283749162,0.006053891712381736
S&P div yield,0.030163478047587188,0.050940964739644316,0.03896554068846761,0.017231447064813697,0.03318342293796219
EXCAUSx,0.02955416731815218,0.017815075410734266,0.041906171897116706,0.021443009936849666,0.031404423086974824
IPB51222S,0.02931934007643419,0.017667118634345513,0.006755426250736096,0.07195366413723797,0.02162306822104496
WPSID62,0.025226439509086013,0.021823020750277304,0.010980674857624328,0.10616233705718854,0.006052027652019283
PERMITS,0.024492772475025643,0.028030569114232098,0.05388510131179276,0.009683882124217492,0.0098976089173928
CLF16OV,0.0178032486983873,0.011524777269501811,0.01083094661816882,0.0033319541922571965,0.014237108206550482
UEMPMEAN,0.01759728385590685,0.00470952532324027,0.053203588949306525,0.0006167216853209513,0.010635565308210358
OILPRICEx,0.01685508374818635,0.0,0.007856525987203164,0.0055635397200643685,0.006820978372202577
AMDMNOx,0.01612945536499337,0.0003474046428082959,0.012753521945204406,0.009269478792058118,0.00974379756657776
UNRATE,0.014325327388831442,0.001348722701280425,0.0010735503798213173,0.011105905351221588,0.0020096569834189303
TWEXAFEGSMTHx,0.014249187828664465,0.00023533429225231612,0.009125470457170331,0.011684009006946392,0.00677546638751657
USFIRE,0.014048394559780018,0.055000928477404946,0.0055240797685884285,0.004187394898872511,0.037889611432365265
CLAIMSx,0.013326761036234648,0.052275284834019116,0.0031285888532692086,0.015156768686284948,0.028143473055607823
PERMITW,0.013310070729091864,0.011690639644240228,0.006524359202883851,0.03304736634156242,0.00022683738785046005
S&P PE ratio,0.013095542735210939,0.01982921429753854,0.02609289270268186,0.0014068174777372463,0.014952816112763277
CUSR0000SAS,0.012010582137565255,0.008257641367569025,0.0020476379142758618,0.004176135445793633,0.008775310764298496
UEMP15OV,0.010965321521028887,0.02778208855556491,0.007750427435266366,0.006215535708825178,0.010572810635147098
DTCTHFNM,0.010711260852698423,0.0025664172512637473,0.010177446876709866,0.013612879285043523,0.009580112941969877
HWI,0.010449615605579655,0.0014879132821005781,0.0009784813325105718,0.006669919410508336,0.0004945838430271167
HOUSTNE,0.00995981103500266,0.007720712305917438,0.011385406177209342,0.007237042205129246,0.007761678504280847
W875RX1,0.009752565279132496,0.0017286561405122057,0.008397737745381975,0.0005331532419592077,0.0010542526765606156
HOUSTW,0.009551116997350655,0.024486214520299376,0.011867165764172804,0.038341997343061464,0.003709493409929759
HOUSTS,0.008963466231499162,0.01350174217489087,0.01955212533925707,0.004651370868947298,0.007251315313912607
TB6SMFFM,0.008895236742610554,0.00021398888491814717,0.0025265405801038004,0.0006518979372633492,0.003922935144216475
DMANEMP,0.00862198982311995,0.004097478690859617,0.006756708517260984,0.008312314738280353,0.0040437691902249955
NONBORRES,0.008148398625668908,0.006856409270844311,0.005969567982322201,0.0004225902364214235,0.0033081213583267895
S&P: indust,0.00788808646137514,0.0006739656957824616,0.00010609155777517738,0.0015542731277733667,0.0016842466408637444
T10YFFM,0.007236307307513363,0.005837442285888948,0.0027435726767688503,6.709454368135833e-05,0.001801792348544517
UEMP15T26,0.007109533266966279,0.011898279003228129,0.011311932154768771,0.008110905232508821,0.025121951155549386
USWTRADE,0.007000894495653018,0.0008619984961333651,0.017543141576213405,0.0017790346324492695,0.008004704719130997
TB3SMFFM,0.0069271400432595305,0.00021636585036457668,0.0006053396375385545,0.0036883047461594835,0.023639115532333492
IPDCONGD,0.006899861201162084,0.012756733728241397,0.027322514723739262,0.03846213947917451,0.02756613792510067
DNDGRG3M086SBEA,0.0068718341907652285,0.048188542789708584,0.03912912541910224,0.0028858951388017902,0.010060333688152052
AMDMUOx,0.006858678122167013,0.0008347020030747932,0.0,0.00448568461807883,0.0037905271643190793
IPDMAT,0.006604039523920803,0.0010405233856185107,0.00018788697517156525,0.0006774762926340979,0.000670384279495904
USGOOD,0.006536482598736439,0.00028984755860367995,0.0009669495410439142,0.002325950461892614,0.0
BAA,0.0059905250596668895,0.004876904277513733,0.00023288810207693487,0.0006512323801476646,0.0033302259681761096
TB3MS,0.005499250155086601,0.01132697823143985,0.006884079038098938,0.001138200809827206,0.0
REALLN,0.005088191997779579,0.0015601555596089437,0.001538645611708344,0.0011323893324711172,0.0005856579684285153
AAA,0.005023634549220452,0.00286984651055616,0.0021769920341332613,0.004349074071264004,0.002721359347427133
PERMITMW,0.0049671454570916354,0.006603484712067299,0.0027375544445769795,0.01966933549681716,0.0030270086891003027
BUSLOANS,0.0048861543999279,0.0013090968929450563,0.017943114349204013,0.001200661886235086,0.0005063696269452852
NDMANEMP,0.00448507096760303,0.0,0.01082069256115646,0.00026580970790362763,0.0063676007927432774
CUSR0000SAD,0.004257917662558049,0.005267347278851408,0.0010063834480569178,0.011207247469699054,0.0003553692269518345
PPICMM,0.0042120469302860146,0.019239930868973926,0.011034384889667622,0.024310112535555577,0.015735449337071508
IPFINAL,0.0040859053495705434,0.0007418061888993135,0.004003795201755151,0.0017139782812353056,0.0
IPNCONGD,0.0038855479780594243,0.0,6.101446399363021e-05,0.018552964774766655,0.00189634137661742
UEMPLT5,0.0036761950629174756,0.004380829567335116,0.0023109707436536012,0.006763560156175694,0.0031612493522028646
RPI,0.0031167982663661224,0.003228855870397021,0.0,0.004056180830242697,1.5574118562640154e-05
AAAFFM,0.0031161234297191792,0.001247575447360717,0.002554129472437523,0.005839248681288904,0.01743196035573027
CPIULFSL,0.0028296684841934705,0.00033929427179258347,0.0009566858876680716,0.0016021181388400103,0.001597643524071336
EXUSUKx,0.002772923211533615,0.0012311244285460197,0.002611098779820954,0.010416914136707934,0.0072986682034456634
IPNMAT,0.002709622454611383,0.0,0.007855959184114119,0.007183882163292601,0.012468316114634826
HOUST,0.002662565290614212,0.002010776645213683,0.0010297725706882573,0.008467908571848948,0.0028002034240882196
ISRATIOx,0.0025983280795382284,0.0028401588074742595,0.0005496003362087101,0.012882702591117477,0.001034443550350574
CUMFNS,0.002556575833556384,0.0,0.0005977612348586113,0.004009344491343591,0.0016920009301447218
HOUSTMW,0.002462334415045807,0.0031582942123800735,0.018896138757812746,0.027845656622169902,0.007498904500514331
BUSINVx,0.00237186247681413,0.0026938984510486586,0.0009919597681888523,0.00044822230716706367,0.002919067336852049
EXJPUSx,0.0023064754814756706,7.321831220704478e-06,0.0010149166170115168,0.010992255206766296,0.008778126931621603
IPMAT,0.0022640979958741306,2.2940518999537097e-05,0.006262463182296965,0.0023476713782408444,0.005106953235849505
TB6MS,0.002216818856985605,0.0002710570809545715,0.0,0.0006135351341980418,0.00044531047183817197
UEMP27OV,0.0021203088767540305,0.0008553852479752915,0.005970380315392605,0.006040243401375165,0.01268568981699692
INDPRO,0.0019679723575069838,0.0012707477498770342,0.00017453568732809466,0.0005469774836496743,0.00237740624901564
USCONS,0.0018039697264493383,0.010311706791324055,0.022886236032407158,0.0023008078587401543,0.012663222462772468
ACOGNO,0.0017900786652116098,0.0029963629537394587,0.001096709372160713,0.010584227826753504,0.0027130612345777575
CES0600000007,0.001723958986673692,1.232343519545071e-06,1.1786319676509851e-06,0.0005552442541170719,0.0020900274757837357
CPIAUCSL,0.0017147865612167092,0.0,0.0,0.003912397559962583,2.1611537409457667e-05
CUSR0000SA0L2,0.001708830454287338,0.0028015879131646376,0.0010101044835523847,0.008710844998535425,0.00711940511260232
T1YFFM,0.0016796535675569436,0.005012659515760044,0.004921348430924006,0.0012924869417506196,0.005601169058445119
CONSPI,0.0016732514263606538,0.0025017000902962543,0.003334892709137377,0.010943895514576396,0.004766153737419295
DPCERA3M086SBEA,0.0016306096646123032,0.0008162331988196965,0.002840450214374012,0.0005265912301149078,0.001844663733837575
S&P 500,0.0016228298282450798,0.007109019434498963,0.011564798749884322,0.003796107359118195,0.025778958860289167
INVEST,0.001556629450315914,2.6911290995064254e-05,0.0006820983562553583,0.0,0.0005017206213219877
DTCOLNVHFNM,0.0014262963791591096,0.0017061058588847026,0.0,0.0021224796368947336,0.0007814750745545369
CPIAPPSL,0.0014175972366931003,0.0003983990657272911,0.0019626167103831502,6.562105064418793e-05,0.004813085446987574
EXSZUSx,0.0013206715313758947,0.002147151403247414,0.0015381749936123387,0.0058259525001532735,0.009965992171341392
DDURRG3M086SBEA,0.0012844560414429229,0.0,0.0008631405758132529,0.0009600757094045881,0.001656472131236644
TOTRESNS,0.001237456931219843,0.0,0.0026463046139122435,0.0027389742740246727,0.00042496252943239455
T5YFFM,0.0011489514802094484,0.00025693516990536264,9.455382890526867e-05,0.000865521783212912,0.0029090179416877498
USTRADE,0.0010785912875343473,3.93821116847378e-05,0.00878363278507478,0.0036359645827727,0.002390944194951623
RETAILx,0.001054439578827425,0.0032027169245494517,8.543870994480171e-06,0.0002505217138531234,0.0010357468183148952
GS5,0.0007136551164444735,0.0025084151058175417,0.00018775469993928876,0.0014147667278990163,0.0010150451512281615
CES0600000008,0.0006788906350819733,0.0006192155900879226,0.0008644581601816705,0.0010124531657387155,0.002773467215173364
CPITRNSL,0.0006443994717504008,0.0002257811249800219,0.011465793614854187,0.0039740895267453,0.0002321155534794228
USGOVT,0.0006026309022208755,0.09829025037861198,0.006792754037070379,0.0029006702565195783,0.03958955858018866
WPSID61,0.0005667292280013925,0.0012957595343513343,0.0009395142889017355,0.002627822106653064,0.0013626511886658836
ANDENOx,0.0005285528679722091,0.0067456837858355075,0.0022397741134642293,0.007093508036537896,0.027281450874335596
NONREVSL,0.0005251274932234702,0.00017987722715097842,0.0,0.00012560486047518104,0.00017538030607537343
IPFUELS,0.0005250085897678864,0.00336645347960834,0.001306312039261121,0.0021891997476739715,0.007903514260753988
CMRMTSPLx,0.0005191446055484292,0.0034697605944083777,0.009304206516467713,0.013452975768078869,0.0024433737348496702
PERMITNE,0.0005182669715986675,0.010065805602385274,0.005325290753121624,3.216995749536246e-05,0.0014886871626243645
IPBUSEQ,0.000511993529646045,0.001967888478307699,0.0003459075618874815,0.0033402254472128016,0.0003652210840420184
IPMANSICS,0.0004058307906055238,5.081525466062456e-05,0.0008126940218239245,0.004992465686278236,0.00013013104322518544
SRVPRD,0.0004007772911318212,0.0002128716998848683,0.00077376108476945,0.00010750346768776919,0.0009611185295174625
M1SL,0.000266045820437069,0.0018825256730164773,0.0008710839257479024,0.0020003408139893943,0.0017235681257314886
AWHMAN,0.0002378619300768008,0.00013949708022601093,0.0,0.0021131169563265314,0.001528642935018246
M2SL,0.00022487309627610306,0.0002371028813055129,0.0006862350825475725,0.0008317409836518212,0.004936300540248997
WPSFD49502,0.00018759720791803962,0.0011312388051003736,0.00013286741878118215,0.0,0.0009921874318412664
BAAFFM,0.00018490189699197309,0.0026224757939725444,0.0064617288554589284,0.0021076361762126183,0.0
MANEMP,0.0001839881867734283,0.00015296714915175583,0.00071797745254674,0.0010159632330882823,0.0003928174389173534
CP3Mx,0.00016928465454888608,0.0025640387955496798,0.0005287405179025363,0.00033605660661864003,0.0017573754685175508
IPFPNSS,0.00012283139402901255,0.000995393944158342,0.0009206196052832258,0.0032230795020832693,0.0011389485205682839
PAYEMS,0.00011044548453724033,0.0005799839845828378,0.0016429766213349488,0.00010796045946543598,0.000342056086541184
HWIURATIO,0.00010832680979612347,0.00012387823803008914,0.004926550471047582,0.00115369691785152,0.000645046415980515
CUSR0000SA0L5,8.911961399313429e-05,0.0011820502863273442,0.0,0.0015557036477731841,0.00026007858549867137
CE16OV,6.717927879770007e-05,0.0003542496756766069,0.005271455735307241,0.0,0.0004257356438161358
CES1021000001,3.220190939154324e-05,0.005331720511517408,0.0038639809609582166,0.006678681513278481,0.005814382535851362
FEDFUNDS,1.1886144392011613e-06,0.004074651091267864,0.005094329725203085,0.0017490153084310114,0.0017855346351571284
PCEPI,6.764374519519426e-07,0.0008190347857025739,3.1180721902209936e-05,0.00046593151875775615,0.0
MZMSL,0.0,0.0014413258363733174,0.00030369921174386023,6.204236723626127e-05,0.0002861965947027337
BOGMBASE,0.0,0.0009059977186075898,0.0008724008267974366,0.0007550261085965783,0.004722105015694933
M2REAL,0.0,0.0006483456824556777,4.367403940632145e-05,6.733789052520444e-05,0.0
CES3000000008,0.0,0.0002951729266782678,0.0011043790320102163,0.0015427174141656897,0.0011888044298551108
IPCONGD,0.0,0.006203019237281928,0.007191750846898345,0.001525720906734934,0.0012130323564194395
CES2000000008,0.0,0.001106745778978243,0.0006136992853179172,0.0,0.0007408559200747146
GS1,0.0,0.0011877922558840806,0.0017013033814059135,0.008549932259777678,0.0
AWOTMAN,0.0,0.00016351832433794463,0.00012288533719420828,0.0,0.0
USTPU,0.0,0.007095322611963185,0.0010988662868817443,0.00016764034540698978,0.003338530195851898
DSERRG3M086SBEA,0.0,0.0,0.0,0.003571341664388164,4.166033776156208e-05
CPIMEDSL,0.0,0.0012660238392686173,6.758047044080407e-05,0.0006816275365040665,0.0
